tourney_year_id;tourney_slug;tourney_round_name;match_id;round_order;match_order;match_time;match_duration;winner_name;winner_player_id;loser_name;loser_player_id;winner_sets_won;loser_sets_won;winner_games_won;loser_games_won;winner_tiebreaks_won;loser_tiebreaks_won;winner_aces;winner_double_faults;winner_first_serves_in;winner_first_serves_total;winner_service_points_won;winner_service_points_total;winner_first_serve_return_won;winner_first_serve_return_total;loser_aces;loser_double_faults;loser_first_serves_in;loser_first_serves_total;loser_service_points_won;loser_service_points_total;loser_first_serve_return_won;loser_first_serve_return_total
2017-580;australian-open;Finals;2017-580-f324-n409;1;1;03:38:00;218;Roger Federer;f324;Rafael Nadal;n409;3;2;24;20;0;0;20;3;85;138;91;138;41;110;4;3;110;151;92;151;20;85
2017-580;australian-open;Semi-Finals;2017-580-n409-d875;2;2;04:56:00;296;Rafael Nadal;n409;Grigor Dimitrov;d875;3;2;30;27;1;1;8;3;136;184;120;184;37;124;22;5;124;181;115;181;42;136
2017-580;australian-open;Semi-Finals;2017-580-f324-w367;2;1;03:05:00;185;Roger Federer;f324;Stan Wawrinka;w367;3;2;24;23;0;0;11;3;86;143;95;143;33;89;10;2;89;135;88;135;24;86
2017-580;australian-open;Quarter-Finals;2017-580-d875-gb88;3;3;02:13:00;133;Grigor Dimitrov;d875;David Goffin;gb88;3;0;18;9;0;0;9;4;62;96;61;96;14;44;7;3;44;94;49;94;16;62
2017-580;australian-open;Quarter-Finals;2017-580-n409-r975;3;1;02:44:00;164;Rafael Nadal;n409;Milos Raonic;r975;3;0;19;14;1;0;5;4;76;105;78;105;23;71;14;2;71;107;68;107;13;76
2017-580;australian-open;Quarter-Finals;2017-580-f324-z168;3;4;01:32:00;92;Roger Federer;f324;Mischa Zverev;z168;3;0;19;8;0;0;9;1;55;79;54;79;34;72;5;0;72;97;51;97;17;55
2017-580;australian-open;Quarter-Finals;2017-580-w367-t786;3;2;02:15:00;135;Stan Wawrinka;w367;Jo-Wilfried Tsonga;t786;3;0;19;13;1;0;4;2;58;107;73;107;12;46;7;3;46;86;51;86;17;58
2017-580;australian-open;Round of 16;2017-580-gb88-tb69;4;6;02:44:00;164;David Goffin;gb88;Dominic Thiem;tb69;3;1;24;17;1;0;15;2;70;125;84;125;24;77;13;5;77;128;76;128;19;70
2017-580;australian-open;Round of 16;2017-580-d875-i165;4;8;02:25:00;145;Grigor Dimitrov;d875;Denis Istomin;i165;3;1;21;15;1;0;7;1;72;98;74;98;25;72;14;1;72;104;62;104;14;72
2017-580;australian-open;Round of 16;2017-580-t786-e687;4;7;02:53:00;173;Jo-Wilfried Tsonga;t786;Daniel Evans;e687;3;1;24;17;0;1;17;2;81;122;91;122;27;100;9;11;100;143;89;143;15;81
2017-580;australian-open;Round of 16;2017-580-r975-bd06;4;2;02:49:00;169;Milos Raonic;r975;Roberto Bautista Agut;bd06;3;1;22;17;1;0;33;9;74;113;78;113;32;88;9;4;88;127;77;127;14;74
2017-580;australian-open;Round of 16;2017-580-z168-mc10;4;1;03:34:00;214;Mischa Zverev;z168;Andy Murray;mc10;3;1;24;18;0;0;7;2;91;137;81;137;33;95;10;6;95;145;80;145;31;91
2017-580;australian-open;Round of 16;2017-580-n409-mc65;4;5;02:56:00;176;Rafael Nadal;n409;Gael Monfils;mc65;3;1;22;16;0;0;2;1;74;101;70;101;26;75;15;10;75;130;74;130;21;74
2017-580;australian-open;Round of 16;2017-580-f324-n552;4;4;03:24:00;204;Roger Federer;f324;Kei Nishikori;n552;3;2;28;21;0;1;24;6;98;146;102;146;34;107;4;5;107;164;97;164;19;98
2017-580;australian-open;Round of 16;2017-580-w367-sa93;4;3;02:44:00;164;Stan Wawrinka;w367;Andreas Seppi;sa93;3;0;21;18;3;0;17;2;68;117;87;117;22;85;11;3;85;136;88;136;13;68
2017-580;australian-open;Round of 32;2017-580-sa93-d632;5;15;03:07:00;187;Andreas Seppi;sa93;Steve Darcis;d632;3;1;24;22;2;0;11;5;72;131;91;131;19;74;7;4;74;131;83;131;12;72
2017-580;australian-open;Round of 32;2017-580-mc10-q927;5;1;01:59:00;119;Andy Murray;mc10;Sam Querrey;q927;3;0;18;10;0;0;8;2;56;86;58;86;23;52;5;2;52;87;48;87;13;56
2017-580;australian-open;Round of 32;2017-580-e687-ta46;5;13;02:48:00;168;Daniel Evans;e687;Bernard Tomic;ta46;3;0;21;17;2;0;9;2;76;134;88;134;22;82;20;1;82;114;73;114;20;76
2017-580;australian-open;Round of 32;2017-580-gb88-k336;5;9;01:28:00;88;David Goffin;gb88;Ivo Karlovic;k336;3;0;18;9;0;0;3;3;39;66;56;66;16;58;25;3;58;78;49;78;2;39
2017-580;australian-open;Round of 32;2017-580-i165-cd85;5;14;03:27:00;207;Denis Istomin;i165;Pablo Carreno Busta;cd85;3;2;26;22;0;0;15;1;93;141;97;141;27;86;5;5;86;151;93;151;23;93
2017-580;australian-open;Round of 32;2017-580-tb69-pd31;5;6;02:24:00;144;Dominic Thiem;tb69;Benoit Paire;pd31;3;1;22;15;0;0;10;3;85;128;78;128;12;53;10;9;53;110;60;110;32;85
2017-580;australian-open;Round of 32;2017-580-mc65-k435;5;5;01:56:00;116;Gael Monfils;mc65;Philipp Kohlschreiber;k435;3;0;19;13;1;0;9;4;68;97;63;97;16;52;3;2;52;80;50;80;16;68
2017-580;australian-open;Round of 32;2017-580-d875-g628;5;12;02:02:00;122;Grigor Dimitrov;d875;Richard Gasquet;g628;3;0;18;9;0;0;11;4;70;95;66;95;21;49;3;4;49;82;44;82;13;70
2017-580;australian-open;Round of 32;2017-580-t786-sm25;5;10;03:33:00;213;Jo-Wilfried Tsonga;t786;Jack Sock;sm25;3;1;26;21;1;1;24;5;103;155;110;155;23;94;7;5;94;166;106;166;21;103
2017-580;australian-open;Round of 32;2017-580-n552-l797;5;4;02:11:00;131;Kei Nishikori;n552;Lukas Lacko;l797;3;0;18;12;0;0;5;3;46;76;58;76;14;60;12;1;60;106;61;106;8;46
2017-580;australian-open;Round of 32;2017-580-r975-sd32;5;2;02:35:00;155;Milos Raonic;r975;Gilles Simon;sd32;3;1;22;17;1;0;20;3;74;112;76;112;25;83;0;3;83;109;68;109;21;74
2017-580;australian-open;Round of 32;2017-580-z168-j267;5;16;02:21:00;141;Mischa Zverev;z168;Malek Jaziri;j267;3;1;22;10;0;0;7;3;53;88;57;88;26;68;4;6;68;123;61;123;15;53
2017-580;australian-open;Round of 32;2017-580-n409-z355;5;7;04:06:00;246;Rafael Nadal;n409;Alexander Zverev;z355;3;2;28;21;0;1;11;4;113;150;105;150;31;108;19;11;108;172;104;172;31;113
2017-580;australian-open;Round of 32;2017-580-bd06-f401;5;11;04:02:00;242;Roberto Bautista Agut;bd06;David Ferrer;f401;3;1;26;22;1;1;5;5;106;182;110;182;30;82;1;6;82;151;89;151;36;106
2017-580;australian-open;Round of 32;2017-580-f324-ba47;5;8;01:30:00;90;Roger Federer;f324;Tomas Berdych;ba47;3;0;18;10;0;0;8;2;41;70;56;70;9;52;12;3;52;81;52;81;2;41
2017-580;australian-open;Round of 32;2017-580-w367-t840;5;3;02:32:00;152;Stan Wawrinka;w367;Viktor Troicki;t840;3;1;22;16;1;0;16;4;71;117;76;117;22;70;7;8;70;122;68;122;19;71
2017-580;australian-open;Round of 64;2017-580-z355-td51;6;22;01:57:00;117;Alexander Zverev;z355;Frances Tiafoe;td51;3;0;18;9;0;0;9;6;55;99;67;99;21;55;4;2;55;83;50;83;14;55
2017-580;australian-open;Round of 64;2017-580-sa93-ke17;6;14;03:09:00;189;Andreas Seppi;sa93;Nick Kyrgios;ke17;3;2;29;27;0;1;16;4;86;149;106;149;31;119;29;8;119;171;115;171;20;86
2017-580;australian-open;Round of 64;2017-580-mc10-re44;6;1;01:37:00;97;Andy Murray;mc10;Andrey Rublev;re44;3;0;18;5;0;0;9;2;44;69;51;69;8;27;2;3;27;65;33;65;10;44
2017-580;australian-open;Round of 64;2017-580-pd31-f510;6;32;03:29:00;209;Benoit Paire;pd31;Fabio Fognini;f510;3;2;26;24;1;0;22;10;97;176;106;176;37;93;2;7;93;160;97;160;27;97
2017-580;australian-open;Round of 64;2017-580-ta46-e224;6;24;03:21:00;201;Bernard Tomic;ta46;Victor Estrella Burgos;e224;3;1;25;23;2;0;19;2;96;134;98;134;27;104;13;7;104;164;108;164;19;96
2017-580;australian-open;Round of 64;2017-580-e687-c977;6;7;02:58:00;178;Daniel Evans;e687;Marin Cilic;c977;3;1;22;17;0;0;5;7;83;143;88;143;20;64;14;4;64;110;68;110;26;83
2017-580;australian-open;Round of 64;2017-580-f401-e873;6;20;02:46:00;166;David Ferrer;f401;Ernesto Escobedo;e873;3;1;20;16;0;0;7;7;84;141;88;141;20;68;7;3;68;121;75;121;26;84
2017-580;australian-open;Round of 64;2017-580-gb88-s694;6;11;01:45:00;105;David Goffin;gb88;Radek Stepanek;s694;3;0;18;7;0;0;7;4;44;80;55;80;19;46;3;9;46;79;39;79;12;44
2017-580;australian-open;Round of 64;2017-580-i165-d643;6;2;04:49:00;289;Denis Istomin;i165;Novak Djokovic;d643;3;2;27;29;2;0;17;3;133;194;121;194;30;106;14;9;106;185;120;185;40;133
2017-580;australian-open;Round of 64;2017-580-tb69-tc61;6;8;02:44:00;164;Dominic Thiem;tb69;Jordan Thompson;tc61;3;1;24;14;0;1;12;4;64;113;81;113;29;67;5;1;67;123;70;123;12;64
2017-580;australian-open;Round of 64;2017-580-mc65-d801;6;6;01:57:00;117;Gael Monfils;mc65;Alexandr Dolgopolov;d801;3;1;19;13;0;0;20;5;62;92;60;92;24;72;6;5;72;123;67;123;13;62
2017-580;australian-open;Round of 64;2017-580-sd32-sc73;6;23;01:36:00;96;Gilles Simon;sd32;Rogerio Dutra Silva;sc73;3;0;18;6;0;0;3;5;47;67;51;67;21;50;1;3;50;81;42;81;6;47
2017-580;australian-open;Round of 64;2017-580-d875-ch27;6;15;02:36:00;156;Grigor Dimitrov;d875;Hyeon Chung;ch27;3;1;19;18;0;0;12;4;76;117;74;117;18;71;7;4;71;104;64;104;24;76
